DateTime parsed,Weight on Bit kkgf,Average Surface Torque kN.m,Rate of Penetration m/h,Total Depth m,Bit Depth (MD) m,Average Rotary Speed rpm
2009-06-27 17:50:00+00:00,,,,892.0,,
2009-06-27 17:50:30+00:00,,,,892.0,,
2009-06-27 17:51:00+00:00,,,,892.0,,
2009-06-27 17:51:30+00:00,,,,892.0,,
2009-06-27 17:52:00+00:00,,,,892.0,,
2009-06-27 17:52:30+00:00,,,,892.0,,
2009-06-27 17:53:00+00:00,,,,892.0,,
2009-06-27 17:53:30+00:00,,,,892.0,,
2009-06-27 17:54:00+00:00,,,,892.0,,
2009-06-27 17:54:30+00:00,,,,892.0,,
2009-06-27 17:55:00+00:00,,,,892.0,,
2009-06-27 17:55:30+00:00,,,,892.0,,
2009-06-27 17:56:00+00:00,,,,892.0,,
2009-06-27 17:56:30+00:00,,,,892.0,,
2009-06-27 17:57:00+00:00,,,,892.0,,
2009-06-27 17:57:30+00:00,,,,892.0,,
2009-06-27 17:58:00+00:00,,,,892.0,,
2009-06-27 17:58:30+00:00,,,,892.0,,
2009-06-27 17:59:00+00:00,,,,892.0,,
2009-06-27 17:59:30+00:00,,,,892.0,,
2009-06-27 18:00:00+00:00,,,,892.0,,
2009-06-27 18:00:30+00:00,,,,892.0,,
2009-06-27 18:01:00+00:00,,,,892.0,,
2009-06-27 18:01:30+00:00,,,,892.0,,
2009-06-27 18:02:00+00:00,,,,892.0,,
2009-06-27 18:02:30+00:00,,,,892.0,,
2009-06-27 18:03:00+00:00,,,,892.0,,
2009-06-27 18:03:30+00:00,,,,892.0,,
2009-06-27 18:04:00+00:00,,,,892.0,,
2009-06-27 18:04:30+00:00,,,,892.0,,
2009-06-27 18:05:00+00:00,,,,892.0,,
2009-06-27 18:05:30+00:00,,,,892.0,,
2009-06-27 18:06:00+00:00,,,,892.0,,
2009-06-27 18:06:30+00:00,,,,892.0,,
2009-06-27 18:07:00+00:00,,,,892.0,,
2009-06-27 18:07:30+00:00,,,,892.0,,
2009-06-27 18:08:00+00:00,,,,892.0,,
2009-06-27 18:08:30+00:00,,,,892.0,,
2009-06-27 18:09:00+00:00,,,,892.0,,
2009-06-27 18:09:30+00:00,,,,892.0,,
2009-06-27 18:10:00+00:00,,,,892.0,,
2009-06-27 18:10:30+00:00,,,,892.0,,
2009-06-27 18:11:00+00:00,,,,892.0,,
2009-06-27 18:11:30+00:00,,,,892.0,,
2009-06-27 18:12:00+00:00,,,,892.0,,
2009-06-27 18:12:30+00:00,,,,892.0,,
2009-06-27 18:13:00+00:00,,,,892.0,,
2009-06-27 18:13:30+00:00,,,,892.0,,
2009-06-27 18:14:00+00:00,,,,892.0,,
2009-06-27 18:14:30+00:00,,,,892.0,,
2009-06-27 18:15:00+00:00,,,,892.0,,
2009-06-27 18:15:30+00:00,,,,892.0,,
2009-06-27 18:16:00+00:00,,,,892.0,,
